full_name,make,msrp_high,msrp_low,vehicle_model,year
2019 Acura ILX,Acura,32545.0,26895.0,ILX,2019
2019 Acura MDX,Acura,61045.0,45295.0,MDX,2019
2019 Acura NSX,Acura,159300.0,159300.0,NSX,2019
2019 Acura RDX,Acura,48395.0,38295.0,RDX,2019
2019 Acura RLX,Acura,62895.0,62895.0,RLX,2019
2019 Acura TLX,Acura,46945.0,33995.0,TLX,2019
2019 Aston Martin DB11,Aston,243825.0,201820.0,DB11,2019
2019 Aston Martin Vantage,Aston,152820.0,152820.0,Vantage,2019
2019 BMW 2 Series,BMW,53395.0,36295.0,2 Series,2019
2019 BMW 3 Series,BMW,52245.0,45995.0,3 Series,2019
2019 BMW 4 Series,BMW,62995.0,45595.0,4 Series,2019
2019 BMW 5 Series,BMW,75445.0,54395.0,5 Series,2019
2019 BMW 6 Series,BMW,125395.0,71295.0,6 Series,2019
2019 BMW 7 Series,BMW,157695.0,84645.0,7 Series,2019
2019 BMW 8 Series,BMW,112895.0,112895.0,8 Series,2019
2019 BMW i8,BMW,164295.0,148495.0,i8,2019
2019 BMW M2,BMW,59895.0,59895.0,M2,2019
2019 BMW M4,BMW,104095.0,70145.0,M4,2019
2019 BMW M5,BMW,110995.0,103695.0,M5,2019
2019 BMW M6,BMW,120895.0,120895.0,M6,2019
2019 BMW X3,BMW,55645.0,41995.0,X3,2019
2019 BMW X4,BMW,61445.0,51445.0,X4,2019
2019 BMW X5,BMW,76745.0,61695.0,X5,2019
2019 BMW X6,BMW,79295.0,64545.0,X6,2019
2019 BMW X6 M,BMW,106695.0,106695.0,X6 M,2019
2019 Buick Cascada,Buick,37995.0,33995.0,Cascada,2019
2019 Buick Enclave,Buick,56995.0,41195.0,Enclave,2019
2019 Buick Encore,Buick,31795.0,24195.0,Encore,2019
2019 Buick Envision,Buick,44795.0,33190.0,Envision,2019
2019 Buick LaCrosse,Buick,47995.0,30495.0,LaCrosse,2019
2019 Buick Regal Sportback,Buick,39995.0,25995.0,Regal Sportback,2019
2019 Buick Regal TourX,Buick,35995.0,29995.0,Regal TourX,2019
2019 Cadillac ATS Coupe,Cadillac,51890.0,39990.0,ATS Coupe,2019
2019 Cadillac ATS-V Coupe,Cadillac,68790.0,68790.0,ATS-V Coupe,2019
2019 Cadillac CT6 Sedan,Cadillac,87790.0,51490.0,CT6 Sedan,2019
2019 Cadillac CTS Sedan,Cadillac,72790.0,47990.0,CTS Sedan,2019
2019 Cadillac CTS-V Sedan,Cadillac,87990.0,87990.0,CTS-V Sedan,2019
2019 Cadillac Escalade,Cadillac,98590.0,76490.0,Escalade,2019
2019 Cadillac Escalade ESV,Cadillac,101590.0,79490.0,Escalade ESV,2019
2019 Cadillac XT4,Cadillac,42790.0,35790.0,XT4,2019
2019 Cadillac XT5,Cadillac,66890.0,42690.0,XT5,2019
2019 Cadillac XTS,Cadillac,73990.0,47790.0,XTS,2019
2019 Chevrolet Blazer,Chevrolet,46795.0,29995.0,Blazer,2019
2019 Chevrolet Bolt EV,Chevrolet,41780.0,37495.0,Bolt EV,2019
2019 Chevrolet Camaro,Chevrolet,68495.0,25995.0,Camaro,2019
2019 Chevrolet Colorado,Chevrolet,43495.0,21495.0,Colorado,2019
2019 Chevrolet Corvette,Chevrolet,123995.0,56590.0,Corvette,2019
2019 Chevrolet Cruze,Chevrolet,26995.0,18870.0,Cruze,2019
2019 Chevrolet Equinox,Chevrolet,36795.0,24995.0,Equinox,2019
2019 Chevrolet Express Passenger,Chevrolet,39195.0,36095.0,Express Passenger,2019
2019 Chevrolet Impala,Chevrolet,37595.0,28895.0,Impala,2019
2019 Chevrolet Malibu,Chevrolet,32545.0,22965.0,Malibu,2019
2019 Chevrolet Silverado 1500,Chevrolet,58095.0,29795.0,Silverado 1500,2019
2019 Chevrolet Silverado 1500 LD,Chevrolet,45495.0,35995.0,Silverado 1500 LD,2019
2019 Chevrolet Silverado 2500HD,Chevrolet,60295.0,38995.0,Silverado 2500HD,2019
2019 Chevrolet Silverado 3500HD,Chevrolet,60695.0,41595.0,Silverado 3500HD,2019
2019 Chevrolet Sonic,Chevrolet,22395.0,16295.0,Sonic,2019
2019 Chevrolet Spark,Chevrolet,18595.0,14095.0,Spark,2019
2019 Chevrolet Suburban,Chevrolet,86995.0,50795.0,Suburban,2019
2019 Chevrolet Tahoe,Chevrolet,66895.0,47995.0,Tahoe,2019
2019 Chevrolet Traverse,Chevrolet,54195.0,31125.0,Traverse,2019
2019 Chevrolet Trax,Chevrolet,30095.0,22295.0,Trax,2019
2019 Chevrolet Volt,Chevrolet,38995.0,34395.0,Volt,2019
2019 Chevrolet 3500 LCF Gas,Chevrolet,N/A,N/A,3500 LCF Gas,2019
2019 Chevrolet 4500 LCF Gas,Chevrolet,N/A,N/A,4500 LCF Gas,2019
2019 Chevrolet 4500HD LCF Diesel,Chevrolet,59525.0,53625.0,4500HD LCF Diesel,2019
2019 Chevrolet 4500XD LCF Diesel,Chevrolet,61150.0,55250.0,4500XD LCF Diesel,2019
2019 Chevrolet 5500HD LCF Diesel,Chevrolet,65415.0,58365.0,5500HD LCF Diesel,2019
2019 Chevrolet 5500XD LCF Diesel,Chevrolet,67285.0,60225.0,5500XD LCF Diesel,2019
2019 Chevrolet 6500XD LCF Diesel,Chevrolet,85535.0,84650.0,6500XD LCF Diesel,2019
2019 Chevrolet Express Cargo Van,Chevrolet,36995.0,32795.0,Express Cargo Van,2019
2019 Chevrolet Silverado MD,Chevrolet,61720.0,48465.0,Silverado MD,2019
2019 Chrysler 300,Chrysler,43090.0,30390.0,300,2019
2019 Chrysler Pacifica,Chrysler,46790.0,28390.0,Pacifica,2019
2019 Dodge Challenger,Dodge,60045.0,28990.0,Challenger,2019
2019 Dodge Charger,Dodge,66740.0,30390.0,Charger,2019
2019 Dodge Durango,Dodge,64390.0,31390.0,Durango,2019
2019 Dodge Grand Caravan,Dodge,35890.0,28045.0,Grand Caravan,2019
2019 FIAT 124 Spider,FIAT,30585.0,26290.0,124 Spider,2019
2019 FIAT 500L,FIAT,25615.0,23045.0,500L,2019
2019 FIAT 500X,FIAT,N/A,N/A,500X,2019
2019 Ford EcoSport,Ford,28605.0,20990.0,EcoSport,2019
2019 Ford Edge,Ford,43350.0,30990.0,Edge,2019
2019 Ford Escape,Ford,35115.0,25100.0,Escape,2019
2019 Ford Expedition,Ford,77810.0,49825.0,Expedition,2019
2019 Ford Expedition Max,Ford,80495.0,53520.0,Expedition Max,2019
2019 Ford Explorer,Ford,55160.0,33360.0,Explorer,2019
2019 Ford F-150,Ford,72055.0,29650.0,F-150,2019
2019 Ford Fiesta,Ford,22215.0,15135.0,Fiesta,2019
2019 Ford Flex,Ford,44585.0,31570.0,Flex,2019
2019 Ford Fusion,Ford,40910.0,23735.0,Fusion,2019
2019 Ford Fusion Energi,Ford,37490.0,37490.0,Fusion Energi,2019
2019 Ford Fusion Hybrid,Ford,35380.0,28450.0,Fusion Hybrid,2019
2019 Ford Mustang,Ford,60135.0,27115.0,Mustang,2019
2019 Ford Ranger,Ford,39480.0,25095.0,Ranger,2019
2019 Ford Super Duty F-250 SRW,Ford,81935.0,34645.0,Super Duty F-250 SRW,2019
2019 Ford Super Duty F-350 DRW,Ford,84585.0,37305.0,Super Duty F-350 DRW,2019
2019 Ford Super Duty F-350 SRW,Ford,83110.0,35815.0,Super Duty F-350 SRW,2019
2019 Ford Super Duty F-450 DRW,Ford,88000.0,48870.0,Super Duty F-450 DRW,2019
2019 Ford Taurus,Ford,43970.0,28795.0,Taurus,2019
2019 Ford Transit Connect Wagon,Ford,32790.0,28040.0,Transit Connect Wagon,2019
2019 Ford Transit Passenger Wagon,Ford,46460.0,37235.0,Transit Passenger Wagon,2019
2019 Ford Fusion Taxi,Ford,30435.0,30435.0,Fusion Taxi,2019
2019 Ford Transit Connect Van,Ford,28240.0,25295.0,Transit Connect Van,2019
2019 Ford Transit Van,Ford,43600.0,34530.0,Transit Van,2019
2019 GMC Acadia,GMC,48695.0,30195.0,Acadia,2019
2019 GMC Canyon,GMC,45095.0,22395.0,Canyon,2019
2019 GMC Savana Passenger,GMC,39195.0,36095.0,Savana Passenger,2019
2019 GMC Sierra 1500,GMC,59795.0,31095.0,Sierra 1500,2019
2019 GMC Sierra 1500 Limited,GMC,45195.0,36595.0,Sierra 1500 Limited,2019
2019 GMC Sierra 2500HD,GMC,61095.0,39595.0,Sierra 2500HD,2019
2019 GMC Sierra 3500HD,GMC,61395.0,42095.0,Sierra 3500HD,2019
2019 GMC Terrain,GMC,40695.0,26195.0,Terrain,2019
2019 GMC Yukon,GMC,70895.0,50795.0,Yukon,2019
2019 GMC Yukon XL,GMC,73595.0,53495.0,Yukon XL,2019
2019 GMC Savana Cargo Van,GMC,36995.0,32795.0,Savana Cargo Van,2019
2019 Honda Civic Coupe,Honda,27745.0,21545.0,Civic Coupe,2019
2019 Honda Civic Sedan,Honda,28195.0,20345.0,Civic Sedan,2019
2019 Honda Fit,Honda,22415.0,17085.0,Fit,2019
2019 Honda HR-V,Honda,29535.0,21515.0,HR-V,2019
2019 Honda Insight,Honda,28985.0,23725.0,Insight,2019
2019 Honda Odyssey,Honda,47965.0,31085.0,Odyssey,2019
2019 Honda Pilot,Honda,49015.0,32445.0,Pilot,2019
2019 Honda Ridgeline,Honda,44415.0,30985.0,Ridgeline,2019
2019 Hyundai Accent,Hyundai,19965.0,15880.0,Accent,2019
2019 Hyundai Elantra,Hyundai,24385.0,17985.0,Elantra,2019
2019 Hyundai Ioniq Electric,Hyundai,37200.0,30700.0,Ioniq Electric,2019
2019 Hyundai Ioniq Hybrid,Hyundai,29435.0,23285.0,Ioniq Hybrid,2019
2019 Hyundai Ioniq Plug-In Hybrid,Hyundai,30235.0,26235.0,Ioniq Plug-In Hybrid,2019
2019 Hyundai Kona,Hyundai,29945.0,21035.0,Kona,2019
2019 Hyundai Santa Fe,Hyundai,39780.0,26480.0,Santa Fe,2019
2019 Hyundai Santa Fe XL,Hyundai,42280.0,31830.0,Santa Fe XL,2019
2019 Hyundai Sonata,Hyundai,32785.0,23185.0,Sonata,2019
2019 Hyundai Veloster,Hyundai,29035.0,19385.0,Veloster,2019
2019 INFINITI Q50,INFINITI,53995.0,36545.0,Q50,2019
2019 INFINITI Q70,INFINITI,66895.0,51295.0,Q70,2019
2019 INFINITI Q70L,INFINITI,68595.0,52795.0,Q70L,2019
2019 INFINITI QX50,INFINITI,46145.0,37545.0,QX50,2019
2019 INFINITI QX60,INFINITI,48595.0,44995.0,QX60,2019
2019 INFINITI QX80,INFINITI,91095.0,66395.0,QX80,2019
2019 Jaguar E-PACE,Jaguar,53845.0,39595.0,E-PACE,2019
2019 Jaguar F-PACE,Jaguar,80985.0,45595.0,F-PACE,2019
2019 Jaguar F-TYPE,Jaguar,126845.0,61745.0,F-TYPE,2019
2019 Jaguar I-PACE,Jaguar,86895.0,70495.0,I-PACE,2019
2019 Jaguar XE,Jaguar,61085.0,37990.0,XE,2019
2019 Jaguar XE SV,Jaguar,188495.0,188495.0,XE SV,2019
2019 Jaguar XF,Jaguar,72210.0,50960.0,XF,2019
2019 Jaguar XJ,Jaguar,123395.0,76395.0,XJ,2019
2019 Jeep Cherokee,Jeep,39490.0,26040.0,Cherokee,2019
2019 Jeep Compass,Jeep,30940.0,23090.0,Compass,2019
2019 Jeep Grand Cherokee,Jeep,88145.0,33190.0,Grand Cherokee,2019
2019 Jeep Renegade,Jeep,29140.0,24770.0,Renegade,2019
2019 Jeep Wrangler,Jeep,39540.0,29540.0,Wrangler,2019
2019 Jeep Wrangler Unlimited,Jeep,43040.0,33040.0,Wrangler Unlimited,2019
2019 Kia Forte,Kia,22885.0,18585.0,Forte,2019
2019 Kia Niro,Kia,33090.0,24430.0,Niro,2019
2019 Kia Niro Plug-In Hybrid,Kia,35840.0,29140.0,Niro Plug-In Hybrid,2019
2019 Kia Optima,Kia,32820.0,23820.0,Optima,2019
2019 Kia Optima Hybrid,Kia,28905.0,28905.0,Optima Hybrid,2019
2019 Kia Optima Plug-In Hybrid,Kia,36210.0,36210.0,Optima Plug-In Hybrid,2019
2019 Kia Rio,Kia,16995.0,16195.0,Rio,2019
2019 Kia Rio 5-door,Kia,17295.0,17295.0,Rio 5-door,2019
2019 Kia Sedona,Kia,41980.0,27980.0,Sedona,2019
2019 Kia Sorento,Kia,47480.0,26980.0,Sorento,2019
2019 Kia Soul,Kia,23930.0,17430.0,Soul,2019
2019 Kia Soul EV,Kia,36845.0,34845.0,Soul EV,2019
2019 Kia Sportage,Kia,35595.0,24745.0,Sportage,2019
2019 Kia Stinger,Kia,53185.0,33895.0,Stinger,2019
2019 Land Rover Discovery,Land,69495.0,53295.0,Discovery,2019
2019 Land Rover Discovery Sport,Land,53890.0,38790.0,Discovery Sport,2019
2019 Land Rover Range Rover,Land,208895.0,89855.0,Range Rover,2019
2019 Land Rover Range Rover Evoque,Land,66595.0,42795.0,Range Rover Evoque,2019
2019 Land Rover Range Rover Sport,Land,114595.0,67745.0,Range Rover Sport,2019
2019 Land Rover Range Rover Velar,Land,59695.0,50595.0,Range Rover Velar,2019
2019 Lexus ES,Lexus,46055.0,40595.0,ES,2019
2019 Lexus GS,Lexus,55100.0,47605.0,GS,2019
2019 Lexus GS F,Lexus,85345.0,85345.0,GS F,2019
2019 Lexus GX,Lexus,64550.0,53150.0,GX,2019
2019 Lexus IS,Lexus,45090.0,39305.0,IS,2019
2019 Lexus LC,Lexus,97705.0,93195.0,LC,2019
2019 Lexus LS,Lexus,85445.0,76225.0,LS,2019
2019 Lexus LX,Lexus,92125.0,87125.0,LX,2019
2019 Lexus NX,Lexus,41020.0,37380.0,NX,2019
2019 Lexus RC,Lexus,53425.0,42170.0,RC,2019
2019 Lexus RC F,Lexus,65745.0,65745.0,RC F,2019
2019 Lexus RX,Lexus,55680.0,44595.0,RX,2019
2019 Lexus UX,Lexus,38225.0,33025.0,UX,2019
2019 Lincoln Continental,Lincoln,73040.0,47140.0,Continental,2019
2019 Lincoln MKC,Lincoln,50535.0,34920.0,MKC,2019
2019 Lincoln MKT,Lincoln,53495.0,48880.0,MKT,2019
2019 Lincoln MKZ,Lincoln,47990.0,36990.0,MKZ,2019
2019 Lincoln Nautilus,Lincoln,60385.0,41335.0,Nautilus,2019
2019 Lincoln Navigator,Lincoln,97690.0,74500.0,Navigator,2019
2019 Lincoln Navigator L,Lincoln,100890.0,82050.0,Navigator L,2019
2019 Mazda CX-3,Mazda,28140.0,21385.0,CX-3,2019
2019 Mazda CX-9,Mazda,46360.0,33275.0,CX-9,2019
2019 Mazda MX-5 Miata,Mazda,32750.0,26625.0,MX-5 Miata,2019
2019 Mazda MX-5 Miata RF,Mazda,35305.0,33240.0,MX-5 Miata RF,2019
2019 Mitsubishi Eclipse Cross,Mitsubishi,29190.0,24590.0,Eclipse Cross,2019
2019 Mitsubishi Outlander,Mitsubishi,34190.0,25690.0,Outlander,2019
2019 Mitsubishi Outlander Sport,Mitsubishi,27290.0,21690.0,Outlander Sport,2019
2019 Mercedes-Benz AMG GT,Mercedes-Benz,160345.0,113695.0,AMG GT,2019
2019 Mercedes-Benz C-Class,Mercedes-Benz,84795.0,42395.0,C-Class,2019
2019 Mercedes-Benz CLA,Mercedes-Benz,54095.0,34095.0,CLA,2019
2019 Mercedes-Benz CLS,Mercedes-Benz,80895.0,70195.0,CLS,2019
2019 Mercedes-Benz E-Class,Mercedes-Benz,107345.0,54495.0,E-Class,2019
2019 Mercedes-Benz G-Class,Mercedes-Benz,125495.0,125495.0,G-Class,2019
2019 Mercedes-Benz GLA,Mercedes-Benz,54345.0,34945.0,GLA,2019
2019 Mercedes-Benz GLC,Mercedes-Benz,82795.0,41695.0,GLC,2019
2019 Mercedes-Benz GLE,Mercedes-Benz,113995.0,56695.0,GLE,2019
2019 Mercedes-Benz GLS,Mercedes-Benz,127145.0,71145.0,GLS,2019
2019 Mercedes-Benz Metris Passenger Van,Mercedes-Benz,35795.0,31645.0,Metris Passenger Van,2019
2019 Mercedes-Benz S-Class,Mercedes-Benz,254545.0,92245.0,S-Class,2019
2019 Mercedes-Benz SL,Mercedes-Benz,155445.0,90145.0,SL,2019
2019 Mercedes-Benz SLC,Mercedes-Benz,64895.0,49945.0,SLC,2019
2019 Mercedes-Benz Sprinter Cab Chassis,Mercedes-Benz,43535.0,40985.0,Sprinter Cab Chassis,2019
2019 Mercedes-Benz Sprinter Crew Van,Mercedes-Benz,56885.0,47285.0,Sprinter Crew Van,2019
2019 Mercedes-Benz Sprinter Passenger Van,Mercedes-Benz,54785.0,50185.0,Sprinter Passenger Van,2019
2019 Mercedes-Benz Metris Cargo Van,Mercedes-Benz,32195.0,27565.0,Metris Cargo Van,2019
2019 Mercedes-Benz Sprinter Cargo Van,Mercedes-Benz,52785.0,40985.0,Sprinter Cargo Van,2019
2019 Nissan 370Z Coupe,Nissan,47985.0,30885.0,370Z Coupe,2019
2019 Nissan 370Z Roadster,Nissan,50295.0,42715.0,370Z Roadster,2019
2019 Nissan Altima,Nissan,36645.0,24645.0,Altima,2019
2019 Nissan Armada,Nissan,64085.0,48185.0,Armada,2019
2019 Nissan Frontier,Nissan,37845.0,19985.0,Frontier,2019
2019 Nissan LEAF,Nissan,37095.0,30885.0,LEAF,2019
2019 Nissan Pathfinder,Nissan,45305.0,32275.0,Pathfinder,2019
2019 Nissan Rogue,Nissan,33935.0,25845.0,Rogue,2019
2019 Nissan Sentra,Nissan,26735.0,18685.0,Sentra,2019
2019 Nissan Titan,Nissan,58785.0,31785.0,Titan,2019
2019 Nissan Versa Note,Nissan,19255.0,16545.0,Versa Note,2019
2019 Nissan Versa Sedan,Nissan,16885.0,13255.0,Versa Sedan,2019
2019 Nissan NV200 Compact Cargo,Nissan,24245.0,23245.0,NV200 Compact Cargo,2019
2019 Porsche 718 Boxster,Porsche,83850.0,60050.0,718 Boxster,2019
2019 Porsche 718 Cayman,Porsche,81750.0,57950.0,718 Cayman,2019
2019 Porsche 911,Porsche,204050.0,92150.0,911,2019
2019 Porsche Cayenne,Porsche,125650.0,66750.0,Cayenne,2019
2019 Ram Truck 1500,Ram,58590.0,33490.0,1500,2019
2019 Ram Truck 1500 Classic,Ram,45290.0,29090.0,1500 Classic,2019
2019 Ram Truck ProMaster City Wagon,Ram,29090.0,27440.0,ProMaster City Wagon,2019
2019 Ram Truck ProMaster Cutaway,Ram,32440.0,31340.0,ProMaster Cutaway,2019
2019 Ram Truck ProMaster Cargo Van,Ram,41490.0,32040.0,ProMaster Cargo Van,2019
2019 Ram Truck ProMaster City Cargo Van,Ram,27540.0,25790.0,ProMaster City Cargo Van,2019
2019 Ram Truck ProMaster Window Van,Ram,41990.0,38140.0,ProMaster Window Van,2019
2019 Subaru Ascent,Subaru,45670.0,32970.0,Ascent,2019
2019 Subaru BRZ,Subaru,31025.0,26680.0,BRZ,2019
2019 Subaru Crosstrek,Subaru,28170.0,22870.0,Crosstrek,2019
2019 Subaru Forester,Subaru,35270.0,25270.0,Forester,2019
2019 Subaru Impreza,Subaru,26575.0,19480.0,Impreza,2019
2019 Subaru Legacy,Subaru,32430.0,23430.0,Legacy,2019
2019 Subaru Outback,Subaru,39970.0,27320.0,Outback,2019
2019 Subaru WRX,Subaru,42280.0,28080.0,WRX,2019
2019 Toyota 4Runner,Toyota,48045.0,35955.0,4Runner,2019
2019 Toyota 86,Toyota,33340.0,27375.0,86,2019
2019 Toyota Avalon,Toyota,43720.0,36420.0,Avalon,2019
2019 Toyota Camry,Toyota,35520.0,24765.0,Camry,2019
2019 Toyota C-HR,Toyota,27045.0,21990.0,C-HR,2019
2019 Toyota Corolla,Toyota,23800.0,19620.0,Corolla,2019
2019 Toyota Corolla Hatchback,Toyota,25010.0,20910.0,Corolla Hatchback,2019
2019 Toyota Highlander,Toyota,49675.0,32375.0,Highlander,2019
2019 Toyota Land Cruiser,Toyota,86060.0,86060.0,Land Cruiser,2019
2019 Toyota Prius c,Toyota,23875.0,22450.0,Prius c,2019
2019 Toyota Sequoia,Toyota,68930.0,49995.0,Sequoia,2019
2019 Toyota Sienna,Toyota,49935.0,32160.0,Sienna,2019
2019 Toyota Tacoma 2WD,Toyota,38535.0,26595.0,Tacoma 2WD,2019
2019 Toyota Tacoma 4WD,Toyota,46410.0,29670.0,Tacoma 4WD,2019
2019 Toyota Tundra 2WD,Toyota,48775.0,32815.0,Tundra 2WD,2019
2019 Toyota Tundra 4WD,Toyota,51825.0,35865.0,Tundra 4WD,2019
2019 Toyota Yaris Sedan,Toyota,19470.0,16370.0,Yaris Sedan,2019
2019 Volkswagen Atlas,Volkswagen,49390.0,31890.0,Atlas,2019
2019 Volkswagen Beetle,Volkswagen,26890.0,21790.0,Beetle,2019
2019 Volkswagen Beetle Convertible,Volkswagen,30890.0,26890.0,Beetle Convertible,2019
2019 Volkswagen Golf,Volkswagen,26140.0,22740.0,Golf,2019
2019 Volkswagen Golf Alltrack,Volkswagen,36990.0,27790.0,Golf Alltrack,2019
2019 Volkswagen Golf GTI,Volkswagen,37990.0,28490.0,Golf GTI,2019
2019 Volkswagen Golf R,Volkswagen,42390.0,41290.0,Golf R,2019
2019 Volkswagen Golf SportWagen,Volkswagen,30890.0,22790.0,Golf SportWagen,2019
2019 Volkswagen Jetta,Volkswagen,27840.0,19440.0,Jetta,2019
2019 Volkswagen Passat,Volkswagen,30890.0,26190.0,Passat,2019
2019 Volkswagen Tiguan,Volkswagen,39890.0,25190.0,Tiguan,2019
2019 Volvo S60,Volvo,56395.0,36795.0,S60,2019
2019 Volvo S90,Volvo,69745.0,48345.0,S90,2019
2019 Volvo V90,Volvo,60445.0,52445.0,V90,2019
2019 Volvo V90 Cross Country,Volvo,61495.0,53545.0,V90 Cross Country,2019
2019 Volvo XC40,Volvo,41245.0,34695.0,XC40,2019
2019 Volvo XC60,Volvo,62045.0,40795.0,XC60,2019
2019 Volvo XC90,Volvo,105895.0,48695.0,XC90,2019
2018 Acura ILX,Acura,36095.0,29095.0,ILX,2018
2018 Acura MDX,Acura,59645.0,45195.0,MDX,2018
2018 Acura NSX,Acura,157800.0,157800.0,NSX,2018
2018 Acura RDX,Acura,45195.0,36995.0,RDX,2018
2018 Acura RLX,Acura,62895.0,55895.0,RLX,2018
2018 Acura TLX,Acura,46745.0,33995.0,TLX,2018
2018 Aston Martin DB11,Aston,219320.0,201820.0,DB11,2018
2018 Aston Martin Vanquish,Aston,315775.0,297775.0,Vanquish,2018
2018 Aston Martin Vantage,Aston,152820.0,152820.0,Vantage,2018
2018 BMW 2 Series,BMW,53045.0,35945.0,2 Series,2018
2018 BMW 3 Series,BMW,51945.0,35895.0,3 Series,2018
2018 BMW 4 Series,BMW,61695.0,44295.0,4 Series,2018
2018 BMW 5 Series,BMW,74895.0,53645.0,5 Series,2018
2018 BMW 6 Series,BMW,125295.0,71195.0,6 Series,2018
2018 BMW 7 Series,BMW,157695.0,84095.0,7 Series,2018
2018 BMW i3,BMW,52495.0,45445.0,i3,2018
2018 BMW M2,BMW,55495.0,55495.0,M2,2018
2018 BMW M3,BMW,99245.0,67495.0,M3,2018
2018 BMW M4,BMW,78195.0,69695.0,M4,2018
2018 BMW M5,BMW,103595.0,103595.0,M5,2018
2018 BMW M6,BMW,123295.0,120795.0,M6,2018
2018 BMW X1,BMW,36895.0,34895.0,X1,2018
2018 BMW X2,BMW,39395.0,37395.0,X2,2018
2018 BMW X3,BMW,55495.0,43645.0,X3,2018
2018 BMW X4,BMW,60245.0,48595.0,X4,2018
2018 BMW X5,BMW,75045.0,58195.0,X5,2018
2018 BMW X5 M,BMW,102695.0,102695.0,X5 M,2018
2018 BMW X6,BMW,78695.0,63945.0,X6,2018
2018 BMW X6 M,BMW,106095.0,106095.0,X6 M,2018
2018 Buick Cascada,Buick,37995.0,33990.0,Cascada,2018
2018 Buick Enclave,Buick,56795.0,40990.0,Enclave,2018
2018 Buick Encore,Buick,33095.0,23985.0,Encore,2018
2018 Buick Envision,Buick,45955.0,34990.0,Envision,2018
2018 Buick LaCrosse,Buick,47995.0,30490.0,LaCrosse,2018
2018 Buick Regal Sportback,Buick,39995.0,25915.0,Regal Sportback,2018
2018 Buick Regal TourX,Buick,35995.0,29995.0,Regal TourX,2018
2018 Cadillac ATS Coupe,Cadillac,51390.0,39490.0,ATS Coupe,2018
2018 Cadillac ATS Sedan,Cadillac,48890.0,36490.0,ATS Sedan,2018
2018 Cadillac ATS-V Coupe,Cadillac,64790.0,64790.0,ATS-V Coupe,2018
2018 Cadillac ATS-V Sedan,Cadillac,62590.0,62590.0,ATS-V Sedan,2018
2018 Cadillac CT6 Sedan,Cadillac,89290.0,55090.0,CT6 Sedan,2018
2018 Cadillac CTS Sedan,Cadillac,72290.0,47490.0,CTS Sedan,2018
2018 Cadillac CTS-V Sedan,Cadillac,87490.0,87490.0,CTS-V Sedan,2018
2018 Cadillac Escalade,Cadillac,98090.0,75990.0,Escalade,2018
2018 Cadillac Escalade ESV,Cadillac,101090.0,78990.0,Escalade ESV,2018
2018 Cadillac XT5,Cadillac,64390.0,41590.0,XT5,2018
2018 Cadillac XTS,Cadillac,73490.0,47290.0,XTS,2018
2018 Chrysler 300,Chrysler,42390.0,30390.0,300,2018
2018 Chrysler Pacifica,Chrysler,46390.0,28390.0,Pacifica,2018
2018 Dodge Challenger,Dodge,84690.0,28690.0,Challenger,2018
2018 Dodge Charger,Dodge,67690.0,30390.0,Charger,2018
2018 Dodge Durango,Dodge,64390.0,31390.0,Durango,2018
2018 Dodge Grand Caravan,Dodge,35890.0,27645.0,Grand Caravan,2018
2018 Dodge Journey,Dodge,36390.0,24390.0,Journey,2018
2018 Chevrolet Bolt EV,Chevrolet,41780.0,37495.0,Bolt EV,2018
2018 Chevrolet Camaro,Chevrolet,68495.0,26900.0,Camaro,2018
2018 Chevrolet Colorado,Chevrolet,42995.0,21195.0,Colorado,2018
2018 Chevrolet Corvette,Chevrolet,84590.0,56590.0,Corvette,2018
2018 Chevrolet Cruze,Chevrolet,26795.0,17850.0,Cruze,2018
2018 Chevrolet Equinox,Chevrolet,38295.0,24575.0,Equinox,2018
2018 Chevrolet Express Passenger,Chevrolet,38875.0,34710.0,Express Passenger,2018
2018 Chevrolet Impala,Chevrolet,37495.0,28770.0,Impala,2018
2018 Chevrolet Malibu,Chevrolet,31895.0,22555.0,Malibu,2018
2018 Chevrolet Silverado 1500,Chevrolet,57095.0,29795.0,Silverado 1500,2018
2018 Chevrolet Silverado 2500HD,Chevrolet,60495.0,35895.0,Silverado 2500HD,2018
2018 Chevrolet Silverado 3500HD,Chevrolet,60695.0,36995.0,Silverado 3500HD,2018
2018 Chevrolet Sonic,Chevrolet,22195.0,16170.0,Sonic,2018
2018 Chevrolet Spark,Chevrolet,18350.0,13925.0,Spark,2018
2018 Chevrolet Suburban,Chevrolet,86630.0,50485.0,Suburban,2018
2018 Chevrolet Tahoe,Chevrolet,66495.0,47635.0,Tahoe,2018
2018 Chevrolet Traverse,Chevrolet,53595.0,30925.0,Traverse,2018
2018 Chevrolet Trax,Chevrolet,29795.0,21995.0,Trax,2018
2018 Chevrolet Volt,Chevrolet,38445.0,34095.0,Volt,2018
2018 Chevrolet 3500 LCF Gas,Chevrolet,50650.0,42350.0,3500 LCF Gas,2018
2018 Chevrolet 3500HD LCF Diesel,Chevrolet,50825.0,49285.0,3500HD LCF Diesel,2018
2018 Chevrolet 4500 LCF Gas,Chevrolet,53055.0,44770.0,4500 LCF Gas,2018
2018 Chevrolet 4500HD LCF Diesel,Chevrolet,59085.0,53185.0,4500HD LCF Diesel,2018
2018 Chevrolet 4500XD LCF Diesel,Chevrolet,60710.0,54810.0,4500XD LCF Diesel,2018
